Week,Dragon Ball: (United States),One Piece: (United States),Naruto: (United States),My Hero Academia: (United States),Boruto
5/17/15,14,17,69,<1,1
5/24/15,15,17,72,1,1
5/31/15,14,17,74,<1,2
6/7/15,17,19,86,<1,2
6/14/15,18,16,100,1,2
6/21/15,20,21,92,1,3
6/28/15,16,21,90,<1,3
7/5/15,15,24,90,<1,3
7/12/15,15,22,74,<1,2
7/19/15,16,21,74,<1,2
7/26/15,16,22,71,<1,4
8/2/15,19,22,77,<1,5
8/9/15,20,18,91,1,4
8/16/15,20,24,85,<1,5
8/23/15,19,21,74,<1,3
8/30/15,18,22,74,<1,2
9/6/15,17,21,76,0,3
9/13/15,19,20,71,<1,3
9/20/15,19,23,73,<1,3
9/27/15,15,22,71,<1,2
10/4/15,16,17,69,<1,2
10/11/15,15,19,78,<1,5
10/18/15,17,21,78,<1,4
10/25/15,16,19,77,<1,2
11/1/15,15,20,77,<1,4
11/8/15,15,20,77,1,4
11/15/15,15,17,78,<1,3
11/22/15,17,21,85,1,4
11/29/15,14,18,76,<1,3
12/6/15,13,23,83,<1,4
12/13/15,16,22,88,<1,5
12/20/15,16,27,93,<1,5
12/27/15,16,21,91,1,7
1/3/16,16,20,77,<1,6
1/10/16,13,18,69,<1,4
1/17/16,16,22,80,<1,5
1/24/16,18,25,77,<1,7
1/31/16,18,21,87,1,6
2/7/16,16,20,94,<1,6
2/14/16,15,21,95,1,7
2/21/16,14,19,88,1,6
2/28/16,15,21,90,1,6
3/6/16,13,20,92,1,5
3/13/16,14,23,90,1,5
3/20/16,15,22,90,1,4
3/27/16,15,23,80,1,6
4/3/16,14,21,82,4,4
4/10/16,16,21,83,3,4
4/17/16,16,21,87,3,5
4/24/16,15,22,83,4,5
5/1/16,18,21,84,3,8
5/8/16,14,19,83,6,6
5/15/16,16,21,86,6,6
5/22/16,14,21,88,5,5
5/29/16,15,25,86,7,6
6/5/16,14,24,76,7,4
6/12/16,19,24,77,7,5
6/19/16,15,22,82,7,5
6/26/16,17,26,84,10,4
7/3/16,19,19,85,7,5
7/10/16,16,23,81,6,4
7/17/16,17,24,77,5,5
7/24/16,13,19,74,5,3
7/31/16,12,21,78,5,5
8/7/16,14,22,69,4,3
8/14/16,15,23,67,3,3
8/21/16,12,20,73,2,4
8/28/16,16,19,74,3,4
9/4/16,14,20,77,3,4
9/11/16,13,21,79,3,5
9/18/16,15,20,76,3,6
9/25/16,15,18,88,2,5
10/2/16,14,19,87,3,5
10/9/16,15,17,88,2,5
10/16/16,18,18,87,3,4
10/23/16,18,19,76,2,5
10/30/16,17,20,76,2,5
11/6/16,18,19,79,3,5
11/13/16,19,20,69,2,4
11/20/16,18,25,81,2,6
11/27/16,17,20,78,2,5
12/4/16,17,19,86,2,6
12/11/16,16,21,83,2,4
12/18/16,17,20,83,3,6
12/25/16,20,24,99,4,6
1/1/17,17,21,82,3,6
1/8/17,19,22,82,2,6
1/15/17,20,23,86,3,5
1/22/17,23,19,87,2,5
1/29/17,18,19,79,1,6
2/5/17,18,21,81,2,7
2/12/17,21,18,79,3,5
2/19/17,17,17,63,3,6
2/26/17,15,14,53,1,4
3/5/17,16,16,58,3,4
3/12/17,14,13,60,2,4
3/19/17,14,14,63,3,6
3/26/17,13,13,53,4,6
4/2/17,13,12,63,6,12
4/9/17,13,17,67,6,12
4/16/17,15,13,59,7,10
4/23/17,13,16,64,6,9
4/30/17,15,15,58,7,8
5/7/17,15,14,60,9,8
5/14/17,15,14,64,8,9
5/21/17,17,13,61,8,8
5/28/17,14,14,57,9,9
6/4/17,15,15,55,15,7
6/11/17,16,14,63,10,9
6/18/17,16,15,60,13,9
6/25/17,17,16,57,17,9
7/2/17,16,14,64,16,10
7/9/17,17,15,61,19,11
7/16/17,14,13,53,16,5
7/23/17,17,16,60,17,4
7/30/17,14,17,60,22,8
8/6/17,16,17,56,22,9
8/13/17,18,16,69,18,9
8/20/17,20,15,63,17,10
8/27/17,15,16,66,16,12
9/3/17,14,13,63,17,8
9/10/17,14,12,63,19,7
9/17/17,16,13,64,16,10
9/24/17,15,14,66,17,8
10/1/17,13,14,68,15,10
10/8/17,17,10,71,16,9
10/15/17,17,12,65,14,10
10/22/17,15,13,63,14,9
10/29/17,16,16,59,13,6
11/5/17,15,14,62,10,7
11/12/17,20,13,57,12,6
11/19/17,16,13,55,15,6
11/26/17,18,13,50,11,6
12/3/17,19,14,56,9,6
12/10/17,17,12,55,13,8
12/17/17,19,14,58,14,7
12/24/17,20,17,54,17,9
12/31/17,16,14,60,13,7
1/7/18,17,12,62,12,8
1/14/18,24,14,61,12,9
1/21/18,23,13,55,12,7
1/28/18,23,13,58,12,7
2/4/18,24,14,54,14,6
2/11/18,19,13,60,13,6
2/18/18,21,15,55,11,7
2/25/18,21,12,60,12,6
3/4/18,24,14,56,12,5
3/11/18,20,12,54,16,7
3/18/18,21,14,54,13,6
3/25/18,26,14,54,15,8
4/1/18,18,12,50,13,5
4/8/18,20,15,48,22,5
4/15/18,19,13,49,26,6
4/22/18,15,14,54,26,6
4/29/18,19,14,49,29,7
5/6/18,20,13,47,27,5
5/13/18,15,13,53,31,6
5/20/18,16,12,50,31,5
5/27/18,16,13,47,33,6
6/3/18,17,17,52,38,8
6/10/18,15,16,55,36,7
6/17/18,15,14,48,45,7
6/24/18,19,15,51,43,5
7/1/18,13,16,46,46,6
7/8/18,17,14,45,40,5
7/15/18,22,16,49,56,9
7/22/18,17,15,54,49,7
7/29/18,14,13,54,47,9
8/5/18,16,13,53,43,8
8/12/18,17,15,52,49,6
8/19/18,17,12,50,43,5
8/26/18,16,12,56,43,7
9/2/18,18,12,52,45,7
9/9/18,19,12,60,44,9
9/16/18,17,12,62,43,9
9/23/18,18,10,58,42,7
9/30/18,17,11,60,43,7
10/7/18,18,11,59,45,4
10/14/18,16,14,57,38,6
10/21/18,14,14,52,40,8
10/28/18,14,13,61,38,7
11/4/18,13,11,60,38,8
11/11/18,16,11,61,35,8
11/18/18,17,16,53,35,7
11/25/18,18,13,61,35,7
12/2/18,15,11,60,33,6
12/9/18,15,10,60,33,7
12/16/18,19,12,61,34,7
12/23/18,16,15,56,40,6
12/30/18,16,15,52,43,8
1/6/19,16,11,58,40,8
1/13/19,23,12,58,38,7
1/20/19,23,12,61,42,8
1/27/19,21,14,64,43,9
2/3/19,23,12,58,37,5
2/10/19,22,11,65,42,6
2/17/19,20,14,67,41,6
2/24/19,20,13,64,41,9
3/3/19,17,15,67,43,7
3/10/19,17,15,69,48,8
3/17/19,14,13,71,41,7
3/24/19,18,17,73,41,8
3/31/19,17,13,63,45,6
4/7/19,18,12,65,44,8
4/14/19,17,15,61,44,8
4/21/19,21,16,69,44,6
4/28/19,16,13,66,44,7
5/5/19,17,12,60,38,7
5/12/19,16,11,65,45,7
5/19/19,14,13,63,45,7
5/26/19,15,13,58,48,6
6/2/19,18,12,59,43,7
6/9/19,18,13,54,48,6
6/16/19,14,14,56,49,7
6/23/19,15,15,54,49,6
6/30/19,15,16,61,52,6
7/7/19,14,15,52,45,6
7/14/19,16,13,60,56,7
7/21/19,17,14,67,55,6
7/28/19,15,14,63,55,9
8/4/19,16,15,54,59,5
8/11/19,15,12,54,55,7
8/18/19,17,17,61,40,8
8/25/19,16,13,66,48,6
9/1/19,18,11,72,55,8
9/8/19,15,12,71,49,7
9/15/19,14,12,85,46,9
9/22/19,15,14,99,54,8
9/29/19,16,15,90,56,7
10/6/19,16,14,88,56,9
10/13/19,13,14,85,62,8
10/20/19,15,14,90,65,10
10/27/19,15,15,87,59,8
11/3/19,17,12,92,51,9
11/10/19,15,13,85,59,9
11/17/19,15,12,86,50,8
11/24/19,14,15,77,59,7
