Category: All categories

Week,Dragon Ball: (United States),One Piece: (United States),Naruto: (United States),My Hero Academia: (United States),Boruto: Naruto Next Generations: (United States)
2019-05-12,16,13,66,48,6
2019-05-19,18,15,68,47,8
2019-05-26,15,12,62,55,6
2019-06-02,21,15,62,50,8
2019-06-09,18,14,58,53,6
2019-06-16,16,14,61,53,6
2019-06-23,18,13,53,43,6
2019-06-30,17,18,61,60,8
2019-07-07,13,14,54,44,6
2019-07-14,21,17,62,53,8
2019-07-21,18,14,69,62,7
2019-07-28,18,18,70,56,7
2019-08-04,17,17,68,60,7
2019-08-11,16,12,64,49,8
2019-08-18,17,14,64,51,8
2019-08-25,20,12,67,56,6
2019-09-01,17,12,67,54,7
2019-09-08,17,12,75,55,7
2019-09-15,17,13,87,53,10
2019-09-22,16,14,93,51,8
2019-09-29,18,15,97,56,6
2019-10-06,18,14,90,56,9
2019-10-13,14,14,88,60,7
2019-10-20,17,14,92,60,9
2019-10-27,15,14,92,59,9
2019-11-03,18,11,91,56,9
2019-11-10,15,12,83,59,9
2019-11-17,17,11,92,55,9
2019-11-24,13,16,83,61,9
2019-12-01,18,13,93,59,9
2019-12-08,16,12,97,62,9
2019-12-15,16,16,96,64,9
2019-12-22,18,16,90,71,9
2019-12-29,19,18,74,72,8
2020-01-05,17,15,89,66,9
2020-01-12,18,12,100,68,10
2020-01-19,18,16,93,73,8
2020-01-26,17,16,89,69,7
2020-02-02,14,16,90,59,9
2020-02-09,16,15,88,67,9
2020-02-16,18,14,90,72,8
2020-02-23,18,12,92,75,8
2020-03-01,18,12,96,84,9
2020-03-08,17,16,95,82,10
2020-03-15,13,17,91,87,8
2020-03-22,13,20,94,86,8
2020-03-29,15,15,88,82,9
2020-04-05,16,18,77,77,9
2020-04-12,14,16,82,76,8
2020-04-19,15,18,84,74,9
2020-04-26,13,18,80,73,10
2020-05-03,12,16,86,78,9
