Week,Dragon Ball: (United States),,Week,Dragon Ball: (United States),,,,
5/17/15,14,,5/24/15,63,,63,,scale factor
5/24/15,15,,5/31/15,59,,58.8,,4.2
5/31/15,14,,6/7/15,59,,71.4,,
6/7/15,17,,6/14/15,64,,75.6,,
6/14/15,18,,6/21/15,64,,84,,
6/21/15,20,,6/28/15,62,,67.2,,
6/28/15,16,,7/5/15,78,,63,,
7/5/15,15,,7/12/15,66,,63,,
7/12/15,15,,7/19/15,70,,67.2,,
7/19/15,16,,7/26/15,67,,67.2,,
7/26/15,16,,8/2/15,100,,79.8,,
8/2/15,19,,8/9/15,91,,84,,
8/9/15,20,,8/16/15,78,,84,,
8/16/15,20,,8/23/15,71,,79.8,,
8/23/15,19,,8/30/15,61,,75.6,,
8/30/15,18,,9/6/15,64,,71.4,,
9/6/15,17,,9/13/15,57,,79.8,,
9/13/15,19,,9/20/15,54,,79.8,,
9/20/15,19,,9/27/15,50,,63,,
9/27/15,15,,10/4/15,48,,67.2,,
10/4/15,16,,10/11/15,49,,63,,
10/11/15,15,,10/18/15,52,,71.4,,
10/18/15,17,,10/25/15,51,,67.2,,
10/25/15,16,,11/1/15,51,,63,,
11/1/15,15,,11/8/15,50,,63,,
11/8/15,15,,11/15/15,48,,63,,
11/15/15,15,,11/22/15,51,,71.4,,
11/22/15,17,,11/29/15,48,,58.8,,
11/29/15,14,,12/6/15,46,,54.6,,
12/6/15,13,,12/13/15,49,,67.2,,
12/13/15,16,,12/20/15,55,,67.2,,
12/20/15,16,,12/27/15,56,,67.2,,
12/27/15,16,,1/3/16,42,,67.2,,
1/3/16,16,,1/10/16,39,,54.6,,
1/10/16,13,,1/17/16,43,,67.2,,
1/17/16,16,,1/24/16,43,,75.6,,
1/24/16,18,,1/31/16,43,,75.6,,
1/31/16,18,,2/7/16,40,,67.2,,
2/7/16,16,,2/14/16,41,,63,,
2/14/16,15,,2/21/16,44,,58.8,,
2/21/16,14,,2/28/16,44,,63,,
2/28/16,15,,3/6/16,43,,54.6,,
3/6/16,13,,3/13/16,42,,58.8,,
3/13/16,14,,3/20/16,44,,63,,
3/20/16,15,,3/27/16,45,,63,,
3/27/16,15,,4/3/16,46,,58.8,,
4/3/16,14,,4/10/16,44,,67.2,,
4/10/16,16,,4/17/16,49,,67.2,,
4/17/16,16,,4/24/16,46,,63,,
4/24/16,15,,5/1/16,46,,75.6,,
5/1/16,18,,5/8/16,48,,58.8,,
5/8/16,14,,5/15/16,48,,67.2,,
5/15/16,16,,5/22/16,49,,58.8,,
5/22/16,14,,5/29/16,47,,63,,
5/29/16,15,,6/5/16,47,,58.8,,
6/5/16,14,,6/12/16,49,,79.8,,
6/12/16,19,,6/19/16,51,,63,,
6/19/16,15,,6/26/16,53,,71.4,,
6/26/16,17,,7/3/16,54,,79.8,,
7/3/16,19,,7/10/16,48,,67.2,,
7/10/16,16,,7/17/16,48,,71.4,,
7/17/16,17,,7/24/16,45,,54.6,,
7/24/16,13,,7/31/16,43,,50.4,,
7/31/16,12,,8/7/16,38,,58.8,,
8/7/16,14,,8/14/16,36,,63,,
8/14/16,15,,8/21/16,38,,50.4,,
8/21/16,12,,8/28/16,43,,67.2,,
8/28/16,16,,9/4/16,42,,58.8,,
9/4/16,14,,9/11/16,43,,54.6,,
9/11/16,13,,9/18/16,40,,63,,
9/18/16,15,,9/25/16,42,,63,,
9/25/16,15,,10/2/16,41,,58.8,,
10/2/16,14,,10/9/16,46,,63,,
10/9/16,15,,10/16/16,46,,75.6,,
10/16/16,18,,10/23/16,55,,75.6,,
10/23/16,18,,10/30/16,57,,71.4,,
10/30/16,17,,11/6/16,51,,75.6,,
11/6/16,18,,11/13/16,54,,79.8,,
11/13/16,19,,11/20/16,56,,75.6,,
11/20/16,18,,11/27/16,54,,71.4,,
11/27/16,17,,12/4/16,48,,71.4,,
12/4/16,17,,12/11/16,52,,67.2,,
12/11/16,16,,12/18/16,56,,71.4,,
12/18/16,17,,12/25/16,57,,84,,
12/25/16,20,,1/1/17,54,,71.4,,
1/1/17,17,,1/8/17,57,,79.8,,
1/8/17,19,,1/15/17,55,,84,,
1/15/17,20,,1/22/17,56,,96.6,,
1/22/17,23,,1/29/17,55,,75.6,,
1/29/17,18,,2/5/17,55,,75.6,,
2/5/17,18,,2/12/17,53,,88.2,,
2/12/17,21,,2/19/17,56,,71.4,,
2/19/17,17,,2/26/17,54,,63,,
2/26/17,15,,3/5/17,54,,67.2,,
3/5/17,16,,3/12/17,51,,58.8,,
3/12/17,14,,3/19/17,50,,58.8,,
3/19/17,14,,3/26/17,47,,54.6,,
3/26/17,13,,4/2/17,43,,54.6,,
4/2/17,13,,4/9/17,45,,54.6,,
4/9/17,13,,4/16/17,43,,63,,
4/16/17,15,,4/23/17,45,,54.6,,
4/23/17,13,,4/30/17,45,,63,,
4/30/17,15,,5/7/17,46,,63,,
5/7/17,15,,5/14/17,45,,63,,
5/14/17,15,,5/21/17,48,,71.4,,
5/21/17,17,,5/28/17,44,,58.8,,
5/28/17,14,,6/4/17,46,,63,,
6/4/17,15,,6/11/17,50,,67.2,,
6/11/17,16,,6/18/17,50,,67.2,,
6/18/17,16,,6/25/17,54,,71.4,,
6/25/17,17,,7/2/17,53,,67.2,,
7/2/17,16,,7/9/17,52,,71.4,,
7/9/17,17,,7/16/17,51,,58.8,,
7/16/17,14,,7/23/17,52,,71.4,,
7/23/17,17,,7/30/17,53,,58.8,,
7/30/17,14,,8/6/17,51,,67.2,,
8/6/17,16,,8/13/17,51,,75.6,,
8/13/17,18,,8/20/17,48,,84,,
8/20/17,20,,8/27/17,47,,63,,
8/27/17,15,,9/3/17,45,,58.8,,
9/3/17,14,,9/10/17,44,,58.8,,
9/10/17,14,,9/17/17,48,,67.2,,
9/17/17,16,,9/24/17,46,,63,,
9/24/17,15,,10/1/17,47,,54.6,,
10/1/17,13,,10/8/17,69,,71.4,,
10/8/17,17,,10/15/17,57,,71.4,,
10/15/17,17,,10/22/17,54,,63,,
10/22/17,15,,10/29/17,53,,67.2,,
10/29/17,16,,11/5/17,52,,63,,
11/5/17,15,,11/12/17,55,,84,,
11/12/17,20,,11/19/17,59,,67.2,,
11/19/17,16,,11/26/17,57,,75.6,,
11/26/17,18,,12/3/17,59,,79.8,,
12/3/17,19,,12/10/17,58,,71.4,,
12/10/17,17,,12/17/17,66,,79.8,,
12/17/17,19,,12/24/17,66,,84,,
12/24/17,20,,12/31/17,60,,67.2,,
12/31/17,16,,1/7/18,69,,71.4,,
1/7/18,17,,1/14/18,81,,100.8,,
1/14/18,24,,1/21/18,79,,96.6,,
1/21/18,23,,1/28/18,84,,96.6,,
1/28/18,23,,2/4/18,75,,100.8,,
2/4/18,24,,2/11/18,73,,79.8,,
2/11/18,19,,2/18/18,77,,88.2,,
2/18/18,21,,2/25/18,72,,88.2,,
2/25/18,21,,3/4/18,74,,100.8,,
3/4/18,24,,3/11/18,73,,84,,
3/11/18,20,,3/18/18,83,,88.2,,
3/18/18,21,,3/25/18,90,,109.2,,
3/25/18,26,,4/1/18,70,,75.6,,
4/1/18,18,,4/8/18,58,,84,,
4/8/18,20,,4/15/18,55,,79.8,,
4/15/18,19,,4/22/18,57,,63,,
4/22/18,15,,4/29/18,64,,79.8,,
4/29/18,19,,5/6/18,49,,84,,
5/6/18,20,,5/13/18,50,,63,,
5/13/18,15,,5/20/18,52,,67.2,,
5/20/18,16,,5/27/18,53,,67.2,,
5/27/18,16,,6/3/18,47,,71.4,,
6/3/18,17,,6/10/18,45,,63,,
6/10/18,15,,6/17/18,45,,63,,
6/17/18,15,,6/24/18,45,,79.8,,
6/24/18,19,,7/1/18,55,,54.6,,
7/1/18,13,,7/8/18,62,,71.4,,
7/8/18,17,,7/15/18,68,,92.4,,
7/15/18,22,,7/22/18,62,,71.4,,
7/22/18,17,,7/29/18,56,,58.8,,
7/29/18,14,,8/5/18,58,,67.2,,
8/5/18,16,,8/12/18,52,,71.4,,
8/12/18,17,,8/19/18,52,,71.4,,
8/19/18,17,,8/26/18,53,,67.2,,
8/26/18,16,,9/2/18,55,,75.6,,
